type,category,stable_id,source_filename,archive_path
prop,Core_Shared/Layer_1,l01_prop_cart_serving,AB_PROP_ANIM4__l01_prop_cart_serving_00001_.png,Props/Core_Shared/Layer_1/l01_prop_cart_serving.png
prop,Core_Shared/Layer_1,l01_prop_cart_utility,AB_PROP_ANIM4__l01_prop_cart_utility_00001_.png,Props/Core_Shared/Layer_1/l01_prop_cart_utility.png
prop,Core_Shared/Layer_1,l01_prop_counter_sorting,AB_PROP_ANIM4__l01_prop_counter_sorting_00001_.png,Props/Core_Shared/Layer_1/l01_prop_counter_sorting.png
prop,Core_Shared/Layer_1,l01_prop_desk_administrative,AB_PROP_ANIM4__l01_prop_desk_administrative_00001_.png,Props/Core_Shared/Layer_1/l01_prop_desk_administrative.png
prop,Core_Shared/Layer_1,l01_prop_pew_broken,AB_PROP_ANIM4__l01_prop_pew_broken_00001_.png,Props/Core_Shared/Layer_1/l01_prop_pew_broken.png
prop,Core_Shared/Layer_1,l01_prop_pew_long,AB_PROP_ANIM4__l01_prop_pew_long_00002_.png,Props/Core_Shared/Layer_1/l01_prop_pew_long.png
prop,Core_Shared/Layer_1,l01_prop_pew_short,AB_PROP_ANIM4__l01_prop_pew_short_00001_.png,Props/Core_Shared/Layer_1/l01_prop_pew_short.png
prop,Core_Shared/Layer_1,l01_prop_station_processing_narrow,AB_PROP_ANIM4__l01_prop_station_processing_narrow_00001_.png,Props/Core_Shared/Layer_1/l01_prop_station_processing_narrow.png
prop,Core_Shared/Layer_1,l01_prop_table_damaged,AB_PROP_ANIM4__l01_prop_table_damaged_00001_.png,Props/Core_Shared/Layer_1/l01_prop_table_damaged.png
prop,Core_Shared/Layer_1,l01_prop_table_prep_short,AB_PROP_ANIM4__l01_prop_table_prep_short_00001_.png,Props/Core_Shared/Layer_1/l01_prop_table_prep_short.png
prop,Core_Shared/Layer_1,l01_prop_table_service_long,AB_PROP_ANIM4__l01_prop_table_service_long_00001_.png,Props/Core_Shared/Layer_1/l01_prop_table_service_long.png
prop,Core_Shared/Layer_1,l01_prop_table_work_medium,AB_PROP_ANIM4__l01_prop_table_work_medium_00001_.png,Props/Core_Shared/Layer_1/l01_prop_table_work_medium.png
prop,Experimental_Foreground/Layer_2,l02_fg_chain_heavy_plain,AB_PROP_ANIM4__l02_fg_chain_heavy_plain_00001_.png,Props/Experimental_Foreground/Layer_2/l02_fg_chain_heavy_plain.png
prop,Core_Shared/Layer_2,l02_prop_bed_infirmary,AB_PROP_ANIM4__l02_prop_bed_infirmary_00001_.png,Props/Core_Shared/Layer_2/l02_prop_bed_infirmary.png
prop,Core_Shared/Layer_2,l02_prop_bench_prison_damaged,AB_PROP_ANIM4__l02_prop_bench_prison_damaged_00001_.png,Props/Core_Shared/Layer_2/l02_prop_bench_prison_damaged.png
prop,Core_Shared/Layer_2,l02_prop_bench_prison_long,AB_PROP_ANIM4__l02_prop_bench_prison_long_00001_.png,Props/Core_Shared/Layer_2/l02_prop_bench_prison_long.png
prop,Core_Shared/Layer_2,l02_prop_bench_prison_short,AB_PROP_ANIM4__l02_prop_bench_prison_short_00001_.png,Props/Core_Shared/Layer_2/l02_prop_bench_prison_short.png
prop,Core_Shared/Layer_2,l02_prop_chain_rack_freestanding,AB_PROP_ANIM4__l02_prop_chain_rack_freestanding_00001_.png,Props/Core_Shared/Layer_2/l02_prop_chain_rack_freestanding.png
prop,Core_Shared/Layer_2,l02_prop_cot_prison,AB_PROP_ANIM4__l02_prop_cot_prison_00001_.png,Props/Core_Shared/Layer_2/l02_prop_cot_prison.png
prop,Core_Shared/Layer_2,l02_prop_divider_iron_long,AB_PROP_ANIM4__l02_prop_divider_iron_long_00001_.png,Props/Core_Shared/Layer_2/l02_prop_divider_iron_long.png
prop,Core_Shared/Layer_2,l02_prop_partition_gate_short,AB_PROP_ANIM4__l02_prop_partition_gate_short_00001_.png,Props/Core_Shared/Layer_2/l02_prop_partition_gate_short.png
prop,Core_Shared/Layer_2,l02_prop_restraint_frame_vertical,AB_PROP_ANIM4__l02_prop_restraint_frame_vertical_00001_.png,Props/Core_Shared/Layer_2/l02_prop_restraint_frame_vertical.png
prop,Core_Shared/Layer_2,l02_prop_restraint_stand_low,AB_PROP_ANIM4__l02_prop_restraint_stand_low_00001_.png,Props/Core_Shared/Layer_2/l02_prop_restraint_stand_low.png
prop,Core_Shared/Layer_2,l02_prop_screen_infirmary,AB_PROP_ANIM4__l02_prop_screen_infirmary_00001_.png,Props/Core_Shared/Layer_2/l02_prop_screen_infirmary.png
prop,Core_Shared/Layer_2,l02_prop_screen_iron_medium,AB_PROP_ANIM4__l02_prop_screen_iron_medium_00001_.png,Props/Core_Shared/Layer_2/l02_prop_screen_iron_medium.png
